date,query,clicks,impressions,position
2026-08-15|城 城主 一覧,城 城主 一覧,0,2,46.5
2026-08-15|城道,城道,0,2,2.0
2026-08-15|忘れた,忘れた,0,1,1.0
2026-08-15|日本 100 名城,日本 100 名城,0,2,76.0
2026-08-15|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-15|日本 の 国宝 の 城,日本 の 国宝 の 城,0,1,69.0
2026-08-15|日本 名城,日本 名城,0,1,78.0
2026-08-15|日本 名城 100,日本 名城 100,0,1,18.0
2026-08-15|日本 城跡,日本 城跡,0,2,80.5
2026-08-15|日本100名城,日本100名城,0,2,23.5
2026-08-15|日本の 有名な城一覧,日本の 有名な城一覧,0,1,45.0
2026-08-16|100 名城,100 名城,0,3,48.3
2026-08-16|100名城,100名城,0,5,11.6
2026-08-16|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-16|100名城続100名城,100名城続100名城,0,1,73.0
2026-08-16|shiredo,shiredo,0,1,2.0
2026-08-16|名城100選,名城100選,0,1,64.0
2026-08-16|国宝 の 城 一覧,国宝 の 城 一覧,0,1,72.0
2026-08-16|城 アプリ,城 アプリ,0,1,16.0
2026-08-16|城 スタンプラリー,城 スタンプラリー,0,1,5.0
2026-08-16|城 城主 一覧,城 城主 一覧,0,2,46.5
2026-08-16|城道,城道,0,2,2.0
2026-08-16|御城印帳 100名城,御城印帳 100名城,0,1,1.0
2026-08-16|忘れた,忘れた,0,1,1.0
2026-08-16|日本 100 名城,日本 100 名城,0,2,76.0
2026-08-16|日本 100 名城 ランキング,日本 100 名城 ランキング,0,1,60.0
2026-08-16|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-16|日本 名城,日本 名城,0,1,78.0
2026-08-16|日本 名城 100,日本 名城 100,0,1,18.0
2026-08-16|日本 城跡,日本 城跡,0,2,80.5
2026-08-16|日本 百名 城 マップ,日本 百名 城 マップ,0,1,77.0
2026-08-17|100 名城,100 名城,0,3,48.3
2026-08-17|100名城,100名城,0,5,11.6
2026-08-17|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-17|100名城続100名城,100名城続100名城,0,1,73.0
2026-08-17|お城巡り スタンプ帳,お城巡り スタンプ帳,0,1,1.0
2026-08-17|サイト！,サイト！,0,1,3.0
2026-08-17|名城100選,名城100選,0,1,64.0
2026-08-17|城 アプリ,城 アプリ,0,1,16.0
2026-08-17|城 スタンプラリー,城 スタンプラリー,0,1,5.0
2026-08-17|城 城主 一覧,城 城主 一覧,0,2,46.5
2026-08-17|城道,城道,1,5,2.0
2026-08-17|御城印帳 100名城,御城印帳 100名城,0,1,1.0
2026-08-17|忘れた,忘れた,0,1,1.0
2026-08-17|日本 100 名城,日本 100 名城,0,2,76.0
2026-08-17|日本 100 名城 ランキング,日本 100 名城 ランキング,0,1,60.0
2026-08-17|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-17|日本 名城,日本 名城,0,1,78.0
2026-08-17|日本 名城 100,日本 名城 100,0,1,18.0
2026-08-17|日本 城跡,日本 城跡,0,2,80.5
2026-08-17|百名城,百名城,1,3,19.7
2026-08-19|100 名城,100 名城,0,3,48.3
2026-08-19|100名城,100名城,0,5,11.6
2026-08-19|100名城 チェック リスト,100名城 チェック リスト,0,1,30.0
2026-08-19|100名城続100名城,100名城続100名城,0,1,73.0
2026-08-19|shirodo,shirodo,0,1,11.0
2026-08-19|お城巡り スタンプ帳,お城巡り スタンプ帳,0,2,3.0
2026-08-19|サイト！,サイト！,0,1,3.0
2026-08-19|名城100,名城100,0,1,19.0
2026-08-19|名城100選,名城100選,0,1,64.0
2026-08-19|城 アプリ,城 アプリ,0,1,16.0
2026-08-19|城 スタンプラリー,城 スタンプラリー,0,1,5.0
2026-08-19|城 城主 一覧,城 城主 一覧,0,2,46.5
2026-08-19|城道,城道,1,5,2.0
2026-08-19|島根県のお城,島根県のお城,0,1,2.0
2026-08-19|御城印帳 100名城,御城印帳 100名城,0,3,1.0
2026-08-19|忘れた,忘れた,0,1,1.0
2026-08-19|日本 100 名城,日本 100 名城,0,2,76.0
2026-08-19|日本 100 名城 ランキング,日本 100 名城 ランキング,0,1,60.0
2026-08-19|日本 の 名城,日本 の 名城,0,2,60.5
2026-08-19|百名城,百名城,1,3,19.7
2026-08-20|100 名城,100 名城,0,3,48.3
2026-08-20|100名城,100名城,0,5,10.0
2026-08-20|100名城 チェック リスト,100名城 チェック リスト,0,2,29.5
2026-08-20|100名城スタンプ帳 入手,100名城スタンプ帳 入手,0,2,1.0
2026-08-20|100名城続100名城,100名城続100名城,0,1,73.0
2026-08-20|shirodo,shirodo,0,1,11.0
2026-08-20|お城 スタンプ帳,お城 スタンプ帳,0,1,3.0
2026-08-20|お城巡り スタンプ帳,お城巡り スタンプ帳,0,2,3.0
2026-08-20|サイト！,サイト！,0,1,3.0
2026-08-20|名城100,名城100,0,1,19.0
2026-08-20|名城100選,名城100選,0,1,64.0
2026-08-20|城 アプリ,城 アプリ,0,1,16.0
2026-08-20|城 スタンプラリー,城 スタンプラリー,0,1,5.0
2026-08-20|城 城主 一覧,城 城主 一覧,0,2,46.5
2026-08-20|城道,城道,1,5,2.0
2026-08-20|島根県 お城,島根県 お城,0,1,3.0
2026-08-20|島根県のお城,島根県のお城,0,1,2.0
2026-08-20|御城印帳 100名城,御城印帳 100名城,0,3,1.0
2026-08-20|忘れた,忘れた,0,1,1.0
2026-08-20|百名城,百名城,1,4,16.8
